Flag,Name,Addresses,MAC,Type,Maps,Services Down,Notes
up,CEEE Consepro Trilhos,192.168.20.78,,,Consepro,,
up,DIR TRILHOS,192.168.20.72,,Some Device,Consepro,,
up,DIR PALMARES,192.168.20.73,,Some Device,Consepro,,
up,DIR MOSTARDAS,192.168.20.74,,Some Device,Consepro,,
up,DIR CPV,192.168.20.75,,Some Device,Consepro,,
up,DIR SAIDA PALMARES,192.168.230.10,,Some Device,Consepro,,
up,DIR SHOPPING,192.168.230.20,,Some Device,Consepro,,
up,RB Bridge Brigada PWW,192.168.115.206,18:FD:74:B0:45:1C,,Consepro,,
acknowledged,GW POP FSB,177.72.104.195,82:09:3E:7B:D7:B5,,DC FSB,,
up,Agroindustrial Sul Pinus (MST),177.72.105.125,UbiquitiNe:54:45:B6,,Empresarial,,
up,Jose Vilmar do Evangelho,177.93.247.30,UbiquitiNe:36:84:53,,Empresarial,,
up,FAD (Cameras),177.93.247.11,,,Empresarial,,
up,FAD (Escritorio),177.93.247.22,,,Empresarial,,
up,MBS Loja,177.93.247.7,UbiquitiNe:4E:7B:9D,,Empresarial,,
up,Camara PWW,177.72.105.19,,,Empresarial,,
up,PM CPV (CRAS),177.93.247.42,Routerboar:F3:F8:57,,PM CPV,,
up,RB Bridge Valim,192.168.20.156,Routerboar:4B:80:94,,Valim,,
up,NETPAL_RANCHOVELHO_JAZIDAS,192.168.21.247,UbiquitiNe:30:7B:F0,,Rancho Velho,,
up,NETPAL_RANCHOVELHO_FORT_AGUAS,192.168.21.248,UbiquitiNe:52:F0:17,,Rancho Velho,,
up,BRFibra (Corsan PWW),177.72.105.241,Routerboar:04:EE:5E,,Last Mile,,
up,BRFibra (Corsan PWW - ETA),177.72.105.242,Routerboar:04:EE:5E,,Last Mile,,
up,BRFibra (Corsan CPV),177.93.247.56,Routerboar:04:EE:5E,,Last Mile,,
up,BRFibra (Corsan MST),177.72.105.244,Routerboar:04:EE:5E,,Last Mile,,
up,BRFibra (Corsan CPV - ETA),177.93.247.57,Routerboar:04:EE:5E,,Last Mile,,
up,BRFibra (Corsan GGV - ETA),177.72.105.246,Routerboar:04:EE:5E,,Last Mile,,
up,NETPAL_SERRARIA_LAGOA,192.168.20.4,UbiquitiNe:7E:BA:CE,,Serraria,,
up,SW Serraria,192.168.17.18,B8:69:F4:32:E1:02,,Serraria,,
up,NETPAL_SERRARIA_FAZFUNDO,192.168.20.62,UbiquitiNe:92:7F:25,,Serraria,,
up,NETPAL_SERRARIA_PORTEIRAVELHA,192.168.20.3,UbiquitiNe:E4:8D:4C,,Serraria,,
up,MK POP Serraria,177.72.104.245,EE:8A:43:7F:EB:2A,,Serraria,,
up,NETPAL_SERRARIA_VASSOURAL,192.168.20.59,UbiquitiNe:E8:1B:99,,Serraria,,
up,NETPAL_SERRARIA_SAOJOAO,192.168.20.61,UbiquitiNe:94:E5:CC,,Serraria,,
